sentence,source,target,relation
automobile model was stolen from the driveway of their home on the morning .,automobile,model,"['stolen', 'from']"
super hot guy goes around the world eating pizza,hot,,"['goes', 'around']"
A kid who is angry is staring without blinking his eyes at all.,who,eyes,"['staring', 'without']"
young couple under an umbrella hiding from the wet snow,,wet,"['couple', 'under']"
A man skis down a mountain on a snowy day.,man,snowy,"['skis', 'down']"
politician speaks to the press after a meeting with members,politician,members,"['speaks', 'to']"
fly fishing at a mountain lake,,mountain,['fly']
Passenger rail train traveling through tunnel with lights in.,,Passenger,['train']
mother and daughter throwing autumn leaves in the park at camera,,autumn,['mother']
"A giraffe, antelope, zebra and ostrich all in the same field ",,same,['giraffe']
trees bloom for spring on street,trees,street,"['bloom', 'for']"
hikers look toward tourist attraction through another arch,hikers,tourist,"['look', 'toward']"
add style and color to your home with the chair .,,chair,['add']
activists of religious party are holding a protest demonstration against government as they are demanding,religious,protest,['holding']
concrete has been combined with wood and stone for an earthy look in this bathroom .,concrete,earthy,"['combined', 'with']"
devotees of the shrine take part in a procession celebrating the annual vegetarian festival .,devotees,vegetarian,['take']
woods with beautiful bluebells in the spring .,,beautiful,"['woods', 'with', 'beautiful']"
peas growing in a garden as part of a drive to be country,,drive,['peas']
the balloon has been flying for quite some time .,balloon,time,"['flying', 'for']"
portrait of happy mother and daughter playing circling around at the park,,around,"['portrait', 'of', 'happy']"
the crew of a bomber leave their aircraft after a successful attack,crew,successful,['leave']
moon and saturn in dark space with a new sun coming to them,,new,['moon']
site is nestled in a valley with lots of rocks and trees,site,rocks,"['nestled', 'in']"
a stained glass window by person depicting a city,,stained,"['window', 'by']"
A girl looking at some giraffes in an enclosure.,,enclosure,['girl']
beautiful lake bounded by tall mountains with buildings along the banks,,tall,['lake']
turtles hanging out and sunning themselves on a log in dark pond,,dark,['turtles']
Three puppies are snuggling with their mother by the fire.,Three,,"['snuggling', 'with']"
the coastal town and its bay with fishing boats returning to harbor,,coastal,['town']
young lion cub lying under a tree and resting,,young,['cub']
portrait of a sick elderly woman measuring the temperature,,elderly,"['portrait', 'of']"
herd of deer on the farm .,,farm,"['herd', 'of']"
glass encased office buildings reflect the sky,encased,office,['reflect']
A father is holding a crying infant on his chest.,father,crying,['holding']
securing christmas tree to the car,,christmas,['securing']
leather sofa with yellow pillows and painting on the wall,,yellow,"['sofa', 'with', 'yellow']"
hall and staircase which leads up to the upper floor,which,upper,['hall']
detail of tower with clock,,clock,"['detail', 'of']"
"A pizza that has sauce, tomatoes, cheese and other things on  aluminum foil.",that,other,['pizza']
An Air plane is traveling high in the air. ,Air,plane,['traveling']
The oven contains a dish that is covered with tin foil.,that,tin,['contains']
example find the equation of the circle in standard form,example,standard,['find']
a cranberry farm the crops growing in the fields,,cranberry,['farm']
a hiker leading a llama into a subalpine mountain valley in protected site,,protected,['hiker']
students are shown taking notes and studying together .,students,notes,['shown']
cute frogs sitting under the colorful mushroom in raining day .,,colorful,['frogs']
a white coffee cup with hot steam coming out of the coffee on a wooden,,hot,"['cup', 'with', 'hot']"
travel poster featuring a stylized image of a surfer in front of a volcanic island .,,volcanic,['poster']
a bay window could even become a small home library with lots of storage space .,bay,window,['become']
church in the fog and clouds,,fog,"['church', 'in']"
a small leaf lies on the ground in late august within protected site,small,,"['lies', 'on']"
operating system for ninth screenshot,,ninth,"['system', 'for', 'ninth']"
the families live but home for the summer .,families,summer,['live']
tourists watch a soccer match during their summer holidays in the touristic island,tourists,touristic,['watch']
old stump in the summer forest covered with moss with large roots,,large,"['stump', 'in']"
She slides a duffle bag off her shoulder.,She,duffle,['slides']
The students were studying for their final exams,students,final,"['studying', 'for']"
midfielder sends football player down during a football match at arena outside russian federal city .,midfielder,federal,['sends']
a beautiful city is reflected in calm waters on another world out in the galaxy,beautiful,,"['reflected', 'in', 'calm']"
"a chocolate doughnut on a saucer, coffee in cup. ",,chocolate,"['doughnut', 'on']"
mounted lamps welcome guests to this home in an unique way .,mounted,,['welcome']
empty chairs between palm trees at beach,,empty,"['chairs', 'between']"
"There are some shrimp, carrots, and other vegetables on the plate.",,other,['are']
forced rhubarb stems for sale on a market stall at the rhubarb and food festival,forced,,"['stems', 'for']"
feminine hands with long nails knocking on the keyboard,,long,"['hands', 'with', 'long']"
a kid fell and hurt his knee,kid,knee,['fell']
weathered red barn of an abandoned homestead hidden in snowy woods .,,snowy,"['barn', 'of']"
a pot of geraniums in a sunny window always cheers me .,pot,always,['cheers']
bath with cabinets and mirrors in the bathroom at home,,home,"['bath', 'with']"
sunflowers in early summer growing in the wide field,,wide,"['sunflowers', 'in', 'early']"
"A hot top laying on a surface with mustard, and a mustard bottle hanging upside down by a coil.",,down,['top']
statue of liberty from the hills,,hills,"['statue', 'of']"
politicians visiting buddhist place of worship .,,buddhist,['politicians']
Two adult zebras standing closely together as the young zebra is nursing.,young,,['standing']
false killer whales leaping from the water,,false,['whales']
woman practicing yoga on the beach at sunrise,,sunrise,['woman']
followed by main planets and a dwarf planet orbiting around it,,main,"['followed', 'by', 'main']"
a man is pulling  a bunch of luggage,man,luggage,['pulling']
each flower is a soul opening out to nature .,flower,nature,['is']
greeting card featuring the painting in us state by person,,greeting,['card']
supermarkets always have a shelf full of these drinks .,supermarkets,full,['have']
A woman is filling a mug with coffee.,woman,coffee,['filling']
a view of award category in exhibition as part of its world tour,,world,"['view', 'of']"
architecture on street in the old town,,old,"['architecture', 'on']"
a meerkat sat on a log in the enclosure,meerkat,enclosure,"['sat', 'on']"
pedestrians reflected in the ceiling at an entrance to shopping centre and station,pedestrians,shopping,"['reflected', 'in']"
A man is deciding which bike to buy,bike,,['deciding']
A tray containing many pastries including donuts and lemon squares.,,many,['tray']
image titled understand the game of sport,,sport,['image']
located just outside of the city with direct access to its centre,,direct,['located']
"A sandwich, side dish, and drink are served on a blue lunch tray.",sandwich,side,"['served', 'on']"
a helicopter flies south as planes and helicopters attack a fire approaching,south,,['flies']
a choir sings to an enormous crowd,choir,enormous,"['sings', 'to']"
winner hands up grainy textured eco green icon for overlay watermark stamps .,winner,eco,['hands']
Zebras gather to be with each other on a grassy plain.,Zebras,grassy,['gather']
hiker and dog crossing wooden bridge on the cloudy day,,cloudy,"['bridge', 'on']"
slow motion of man looks and pray up to the sky,slow,,['looks']
