text,SRC,REL,TGT
a city provides critical habitat for threatened species such as polar bears .,city,provides,habitat
time lapse with big clouds developing into storm clouds amidst rolling hills,lapse,with,clouds
Some hikers are taking a rest on the rocks.,hikers,taking,rest
soccer ball with black royal crown is a symbol of competition and winners trophy on white .,ball,with,crown
industry in the central neighborhood with garden and terrace .,industry,in,neighborhood
politician introduces politician before he delivered a speech .,politician,introduces,politician
clouds moving over a peak,clouds,moving,peak
Two dancers are giving a performance at public function.,dancers,giving,performance
an airplane stands on the tarmac in the airport .,airplane,stands,tarmac
homes built into the cliffs on the island,homes,built,cliffs
glacier has created a glacial lake about a mile inland,glacier,created,lake
a crippled rescued elephant is now living the rest of her life .,elephant,rescued,rest
men cleaning and stocking the market stalls with seafood before the opening of the fish market,men,cleaning,stalls
a shot of large electricity pylons in the countryside on a summers day,shot,of,pylons
An old toilet with a rotten lid next to a rusted pipe.,toilet,with,lid
Two men at a carnival have won prizes for their children.,men,at,carnival
bluebells and other wild spring flowers bloom in a graveyard .,bluebells,bloom,graveyard
a train in a park rides the rails fastly,train,in,park
snowy city near the lake with cloudy sky,city,near,lake
a white coffered ceiling adds further detail to an already visually interesting living room with reds,ceiling,adds,detail
doctors reading reports in the hospital,doctors,reading,reports
red carpet leading to the stage illuminated by spotlights .,carpet,leading,stage
red and coloured carpets of various forms and various nationalities for sale at the market,carpets,of,forms
light coming into the wood,light,coming,wood
"Two boys are in a wrestling match and the referee is shouting,",boys,in,match
... lighting adds to the allure of the stone wall in the bedroom,lighting,adds,allure
a student plays his trumpet while a piano accompanies him.,student,plays,trumpet
the tree has grown around the chain over the years .,tree,grown,chain
fog and rain in the mountains,fog,in,mountains
Large commercial cargo plane sits on tarmac next to radar equipment.,plane,sits,tarmac
A white airplane flying on a cloudy day,airplane,flying,day
the reflections of stained glass at sunrise inside byzantine structure,reflections,of,glass
young woman practicing yoga on a floating platform in water on the lake in early morning sun light .,woman,practicing,yoga
cranes and buildings under construction,cranes,under,construction
a flash of colour catches the eye .,flash,of,colour
atomic notation each element has a characteristic number of protons in the nucleus .,element,has,number
olympic athlete cranks here way through the tall grasses under high heat on xc day .,cranks,through,grasses
rural female teachers and pupils in the classroom,teachers,in,classroom
lavender on a pretty tablecloth for sale in a market,lavender,on,tablecloth
male hands typing at night on a keyboard,hands,typing,night
characteristic of living organisms all living things obtain and use energy,characteristic,of,organisms
little bear flying with blue balloons and the words happy birthday,bear,flying,balloons
A dog laying in a piece of black luggage.,dog,laying,piece
fire and smoke is seen from a broken window of an apartment .,fire,seen,window
a sheep with a tag placed on its ear ,sheep,with,tag
traffic going under a bridge and fading out of focus,traffic,going,bridge
two giraffes eat from a basket on a post,giraffes,eat,basket
people learning how to cook by chefs on a cruise,people,learning,chefs
glade in the green forest with small white flowers,glade,in,forest
A book shelf filled with books and knick knacks.,shelf,filled,books
image result for city lights in a plane window,result,for,lights
Mopeds with teens riding them are leaving town.,Mopeds,with,teens
the ferry coming alongside the quay,ferry,coming,quay
fans at the match on friday,fans,at,match
politician welcomes another player to football,politician,welcomes,player
view of local train traveling on rail tracks with flourishing cherry blossoms along the railway,view,of,train
the fashion blog for professional women transitioning the crop top for fall,blog,for,women
this themed float was featured in the parade .,float,themed,parade
rays of sunlight over a city,rays,of,sunlight
Two Zebras eat grass in a dusty area.,Zebras,eat,grass
tents pitched in front during festival,tents,pitched,front
striped accent wall for the small bedroom,wall,striped,bedroom
chairs under the palm trees on paradise beach at tropical resort .,chairs,under,trees
A train pulling into a train station with large windows.,train,pulling,station
a clock against a wall showing the time to be 3,clock,against,wall
guests came to the first event .,guests,came,event
sad teenage girl is sitting sad on the stairs in a rainy day,girl,sitting,stairs
a ship approaches the dock,ship,approaches,dock
in colors ix ... when sun fall into the sea,sun,in,colors
a bed with breakfast served on it .,bed,with,breakfast
places to hang a chandelier in your home,places,hang,chandelier
our daughter wanted a themed birthday party .,daughter,wanted,party
football player smiles during a press conference to announce his new contract at the stadium .,player,smiles,conference
a church with a tower and a clock built into it ,church,with,tower
small swans swim in a pond .,swans,swim,pond
view of docked ships and mechanical cranes on a pier in the the port city,view,of,ships
shoppers and visitors at the building on a sunny spring day,shoppers,at,building
a painting decorates the wall of a hotel,painting,decorates,wall
A university desk features an apple and a banana into which someone has scratched a sentence in French.,desk,features,apple
A herd of giraffe standing next to each other near zebra.,herd,of,zebra
clouds roll over the mountain,clouds,roll,mountain
ship leaving port for the final time,ship,leaving,port
famous harbour is lit up by fireworks as the city celebrates the arrival,harbour,lit,fireworks
coach address his team at quarter time during the round match .,address,at,time
boy watches content on tablet and gets a shock,boy,watches,content
cloud moving over the city,cloud,moving,city
color and pattern in a bedroom,color,in,bedroom
